episode_number,title,page_url,mp3_url,transcript_url
407,Exodus Old And New,https://nakedbiblepodcast.com/podcast/naked-bible-407-exodus-old-and-new/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3200/naked-bible-407-exodus-old-and-new.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/01/NB-407-Transcript.pdf
406,Year Ahead,https://nakedbiblepodcast.com/podcast/naked-bible-406-year-ahead/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3212/naked-bible-406-year-ahead.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/01/NB-406-Transcript.pdf
405,Revelation Qa Part 6,https://nakedbiblepodcast.com/podcast/naked-bible-405-revelation-qa-part-6/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3188/naked-bible-405-revelation-qa-part-6.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/01/NB-405-Transcript.pdf
404,Revelation Qa Part 5,https://nakedbiblepodcast.com/podcast/naked-bible-404-revelation-qa-part-5/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3187/naked-bible-404-revelation-qa-part-5.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2021/12/NB-404-Transcript.pdf
403,Revelation Qa Part 4,https://nakedbiblepodcast.com/podcast/naked-bible-403-revelation-qa-part-4/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3186/naked-bible-403-revelation-qa-part-4.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2021/12/NB-403-Transcript.pdf
402,Revelation Qa Part 3,https://nakedbiblepodcast.com/podcast/naked-bible-402-revelation-qa-part-3/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3185/naked-bible-402-revelation-qa-part-3.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2021/12/NB-402-Transcript.pdf
401,Revelation Qa Part 2,https://nakedbiblepodcast.com/podcast/naked-bible-401-revelation-qa-part-2/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3177/naked-bible-401-revelation-qa-part-2.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2021/12/NB-401-Transcript.pdf
400,Revelation Qa Part 1,https://nakedbiblepodcast.com/podcast/naked-bible-400-revelation-qa-part-1/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3176/naked-bible-400-revelation-qa-part-1.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2021/12/NB-400-Transcript.pdf
399,Miracles Today,https://nakedbiblepodcast.com/podcast/naked-bible-399-miracles-today/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3166/naked-bible-399-miracles-today.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2021/11/NB-399-Transcript.pdf
398,Beginner Guides To New Testament Studies,https://nakedbiblepodcast.com/podcast/naked-bible-398-beginner-guides-to-new-testament-studies/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3165/naked-bible-398-beginner-guides-to-new-testament-studies.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2021/11/NB-398-Transcript.pdf
